	intron	intergenic	five_prime_UTR	three_prime_UTR	CDS
simulated_306	0.0	2.0	3.0	4.0	11.0
simulated_307	0.0	3.0	1.0	3.0	4.0
simulated_308	0.0	3.0	0.0	3.0	19.0
simulated_309	0.0	1.0	1.0	2.0	6.0
simulated_310	0.0	2.0	1.0	2.0	15.0
simulated_311	0.0	3.0	1.0	3.0	13.0
simulated_312	0.0	1.0	3.0	5.0	15.0
simulated_313	0.0	3.0	2.0	4.0	10.0
simulated_314	0.0	4.0	1.0	1.0	5.0
simulated_315	0.0	3.0	0.0	3.0	8.0
simulated_316	0.0	4.0	1.0	3.0	15.0
simulated_317	0.0	2.0	1.0	3.0	15.0
simulated_318	0.0	1.0	1.0	5.0	12.0
simulated_319	0.0	2.0	1.0	2.0	14.0
simulated_320	0.0	0.0	2.0	6.0	14.0
simulated_321	0.0	6.0	2.0	2.0	19.0
simulated_322	0.0	5.0	3.0	4.0	9.0
simulated_323	0.0	2.0	0.0	2.0	10.0
simulated_324	0.0	2.0	2.0	2.0	14.0
simulated_325	0.0	2.0	0.0	3.0	11.0
simulated_326	0.0	2.0	2.0	4.0	13.0
simulated_327	0.0	2.0	2.0	7.0	15.0
simulated_328	0.0	5.0	0.0	5.0	15.0
simulated_329	0.0	2.0	0.0	8.0	11.0
simulated_330	0.0	4.0	0.0	4.0	19.0
simulated_331	0.0	4.0	2.0	3.0	4.0
simulated_332	0.0	1.0	2.0	3.0	15.0
simulated_333	0.0	0.0	3.0	3.0	16.0
simulated_334	0.0	1.0	2.0	1.0	16.0
simulated_335	0.0	2.0	1.0	2.0	9.0
simulated_336	0.0	2.0	4.0	3.0	12.0
simulated_337	0.0	4.0	4.0	2.0	16.0
simulated_338	0.0	3.0	1.0	5.0	18.0
simulated_339	0.0	1.0	0.0	5.0	12.0
simulated_340	0.0	4.0	1.0	2.0	10.0
simulated_341	0.0	2.0	0.0	3.0	7.0
simulated_342	0.0	2.0	2.0	3.0	12.0
simulated_343	0.0	2.0	0.0	4.0	11.0
simulated_344	0.0	2.0	0.0	1.0	15.0
simulated_345	0.0	4.0	2.0	1.0	7.0
simulated_346	0.0	2.0	2.0	3.0	13.0
simulated_347	0.0	3.0	2.0	4.0	7.0
simulated_348	0.0	2.0	0.0	5.0	7.0
simulated_349	0.0	4.0	0.0	2.0	9.0
simulated_350	0.0	3.0	0.0	4.0	17.0
simulated_351	0.0	3.0	2.0	2.0	18.0
simulated_352	0.0	7.0	1.0	1.0	12.0
simulated_353	0.0	4.0	1.0	4.0	12.0
simulated_354	0.0	2.0	1.0	3.0	14.0
simulated_355	0.0	4.0	2.0	5.0	17.0
simulated_356	0.0	1.0	1.0	3.0	15.0
simulated_357	0.0	2.0	1.0	6.0	12.0
simulated_358	0.0	3.0	2.0	4.0	8.0
simulated_359	0.0	3.0	2.0	7.0	14.0
simulated_360	0.0	2.0	0.0	3.0	9.0
simulated_361	0.0	5.0	0.0	5.0	14.0
simulated_362	0.0	5.0	3.0	2.0	12.0
simulated_363	0.0	0.0	2.0	5.0	18.0
simulated_364	0.0	5.0	1.0	1.0	8.0
simulated_365	0.0	2.0	2.0	2.0	11.0
simulated_366	0.0	4.0	1.0	4.0	11.0
simulated_367	0.0	2.0	5.0	4.0	14.0
simulated_368	0.0	2.0	3.0	1.0	13.0
simulated_369	0.0	5.0	0.0	2.0	12.0
simulated_370	0.0	1.0	0.0	3.0	9.0
simulated_371	0.0	3.0	1.0	5.0	13.0
simulated_372	0.0	3.0	1.0	3.0	12.0
simulated_373	0.0	3.0	4.0	4.0	11.0
simulated_374	0.0	4.0	2.0	5.0	12.0
simulated_375	0.0	2.0	1.0	6.0	10.0
simulated_376	0.0	1.0	1.0	3.0	10.0
simulated_377	0.0	3.0	3.0	2.0	10.0
simulated_378	0.0	3.0	0.0	5.0	9.0
simulated_379	0.0	3.0	1.0	3.0	5.0
simulated_380	0.0	2.0	2.0	3.0	17.0
simulated_381	0.0	2.0	2.0	7.0	17.0
simulated_382	0.0	2.0	1.0	5.0	9.0
simulated_383	0.0	6.0	3.0	6.0	11.0
simulated_384	0.0	3.0	0.0	4.0	10.0
simulated_385	0.0	3.0	0.0	3.0	14.0
simulated_386	0.0	3.0	2.0	6.0	9.0
simulated_387	0.0	4.0	2.0	4.0	12.0
simulated_388	0.0	1.0	0.0	2.0	11.0
simulated_389	0.0	3.0	1.0	3.0	14.0
simulated_390	0.0	4.0	2.0	7.0	17.0
simulated_391	0.0	4.0	2.0	4.0	11.0
simulated_392	0.0	2.0	2.0	2.0	8.0
simulated_393	0.0	3.0	1.0	3.0	10.0
simulated_394	0.0	3.0	1.0	4.0	15.0
simulated_395	0.0	7.0	0.0	1.0	19.0
simulated_396	0.0	6.0	2.0	3.0	12.0
simulated_397	0.0	1.0	0.0	2.0	14.0
simulated_398	0.0	1.0	0.0	3.0	10.0
simulated_399	0.0	1.0	3.0	2.0	13.0
simulated_400	0.0	1.0	0.0	3.0	12.0
simulated_401	0.0	1.0	2.0	4.0	12.0
simulated_402	0.0	3.0	2.0	6.0	13.0
simulated_403	0.0	1.0	2.0	1.0	11.0
simulated_404	0.0	5.0	0.0	4.0	11.0
simulated_405	0.0	6.0	0.0	2.0	9.0
simulated_406	0.0	3.0	2.0	1.0	10.0
simulated_407	0.0	0.0	0.0	2.0	9.0
simulated_408	0.0	0.0	1.0	4.0	14.0
simulated_409	0.0	3.0	2.0	2.0	11.0
simulated_410	0.0	5.0	0.0	8.0	11.0
simulated_411	0.0	6.0	0.0	4.0	8.0
simulated_412	0.0	1.0	3.0	3.0	10.0
simulated_413	0.0	2.0	2.0	4.0	11.0
simulated_414	0.0	4.0	0.0	2.0	11.0
simulated_415	0.0	2.0	2.0	5.0	10.0
simulated_416	0.0	1.0	1.0	4.0	12.0
simulated_417	0.0	1.0	2.0	5.0	9.0
simulated_418	0.0	4.0	2.0	3.0	10.0
simulated_419	0.0	1.0	1.0	4.0	11.0
simulated_420	0.0	2.0	2.0	3.0	11.0
simulated_421	0.0	1.0	1.0	4.0	11.0
simulated_422	0.0	4.0	0.0	8.0	15.0
simulated_423	0.0	2.0	1.0	2.0	15.0
simulated_424	0.0	3.0	1.0	2.0	10.0
simulated_425	0.0	3.0	1.0	5.0	15.0
simulated_426	0.0	3.0	4.0	6.0	12.0
simulated_427	0.0	6.0	1.0	1.0	11.0
simulated_428	0.0	4.0	2.0	2.0	18.0
simulated_429	0.0	6.0	0.0	4.0	8.0
simulated_430	0.0	3.0	2.0	2.0	16.0
simulated_431	0.0	2.0	2.0	3.0	14.0
simulated_432	0.0	2.0	1.0	3.0	15.0
simulated_433	0.0	3.0	1.0	5.0	12.0
simulated_434	0.0	4.0	1.0	2.0	8.0
simulated_435	0.0	3.0	1.0	5.0	7.0
simulated_436	0.0	1.0	2.0	4.0	16.0
simulated_437	0.0	4.0	0.0	1.0	9.0
simulated_438	0.0	2.0	3.0	3.0	17.0
simulated_439	0.0	2.0	1.0	4.0	12.0
simulated_440	0.0	6.0	3.0	3.0	17.0
simulated_441	0.0	5.0	1.0	1.0	11.0
simulated_442	0.0	4.0	2.0	5.0	13.0
simulated_443	0.0	4.0	0.0	1.0	14.0
simulated_444	0.0	1.0	0.0	4.0	13.0
simulated_445	0.0	4.0	1.0	4.0	7.0
simulated_446	0.0	1.0	0.0	3.0	14.0
simulated_447	0.0	3.0	5.0	4.0	5.0
simulated_448	0.0	1.0	3.0	5.0	15.0
simulated_449	0.0	4.0	2.0	1.0	12.0
simulated_450	0.0	3.0	4.0	3.0	14.0
simulated_451	0.0	1.0	3.0	6.0	14.0
simulated_452	0.0	0.0	1.0	2.0	11.0
simulated_453	0.0	5.0	4.0	3.0	8.0
simulated_454	0.0	3.0	0.0	7.0	16.0
simulated_455	0.0	4.0	0.0	2.0	14.0
simulated_456	0.0	4.0	1.0	5.0	16.0
simulated_457	0.0	3.0	0.0	1.0	14.0
simulated_458	0.0	3.0	1.0	2.0	8.0
simulated_459	0.0	4.0	0.0	0.0	11.0
simulated_460	0.0	0.0	1.0	3.0	16.0
simulated_461	0.0	2.0	4.0	6.0	13.0
simulated_462	0.0	5.0	2.0	5.0	11.0
simulated_463	0.0	3.0	1.0	6.0	20.0
simulated_464	0.0	0.0	2.0	3.0	11.0
simulated_465	0.0	3.0	0.0	2.0	14.0
simulated_466	0.0	0.0	1.0	7.0	16.0
simulated_467	0.0	5.0	1.0	0.0	13.0
simulated_468	0.0	3.0	0.0	3.0	22.0
simulated_469	0.0	1.0	2.0	2.0	12.0
simulated_470	0.0	5.0	2.0	5.0	13.0
simulated_471	0.0	3.0	0.0	2.0	11.0
simulated_472	0.0	0.0	3.0	3.0	8.0
simulated_473	0.0	2.0	0.0	5.0	16.0
simulated_474	0.0	5.0	0.0	0.0	12.0
simulated_475	0.0	1.0	1.0	3.0	12.0
simulated_476	0.0	4.0	2.0	2.0	9.0
simulated_477	0.0	1.0	2.0	3.0	9.0
simulated_478	0.0	1.0	2.0	2.0	18.0
simulated_479	0.0	4.0	0.0	3.0	10.0
simulated_480	0.0	5.0	2.0	4.0	13.0
simulated_481	0.0	1.0	1.0	3.0	9.0
