	mean	Vm_per_gen	Vm_per_median_gen	Vm_per_mut	Vm_per_median_mut
ChCC-v11000275m.g	-0.17619031489464343	0.002582433585183508	0.0025672875922454624	0.012027149455745886	0.015145684318947068
ChCC-v11000277m.g	-0.26093505719130483	0.00033241029289173473	0.0003304607039545563	0.0015481320782749436	0.0019495492117948081
ChCC-v11000288m.g	-0.14402485920757008	0.0006616338090740659	0.0006577533216697419	0.0030814224041865396	0.0038804083343991257
ChCC-v11000290m.g	0.38480882974033015	0.0011802178403768333	0.0011732958536205187	0.00549662010205817	0.006921845711926321
ChCC-v11000301m.g	0.14750260406476778	0.0007995773913593043	0.0007948878637786413	0.0037238660628054116	0.004689432025503444
ChCC-v11000304m.g	-1.527870791026189	0.00786648033954184	0.007820343371546395	0.036636502590882025	0.04613602789534582
ChCC-v11000306m.g	0.21331210430536826	0.0017295592289722733	0.001719415350725707	0.008055063819941756	0.01014367155199234
ChCC-v11000308m.g	0.4137245276065226	0.0023609649615725075	0.0023471178838237843	0.010995705219886262	0.013846795596693417
ChCC-v11000310m.g	0.5993156188291527	0.0027724861038202365	0.0027562254513913737	0.012912279690730201	0.016260321097142528
ChCC-v11000314m.g	0.9688076767115222	0.0055136633612941546	0.005481325683062252	0.02567874491542549	0.0323370193100907
ChCC-v11000315m.g	-1.4077719411724996	0.005748513039365133	0.005714797965956072	0.026772508640463457	0.03371438642105035
ChCC-v11000316m.g	0.8218798658096738	0.0037500125989288202	0.0037280187460503457	0.01746490684097962	0.021993404725416863
ChCC-v11000318m.g	1.3904182872316988	0.007352883668658228	0.007309758949107365	0.034244532490999756	0.04312384082920194
ChCC-v11000322m.g	0.5343004544003132	0.0028217667686082915	0.0028052170846995317	0.013141794178183064	0.01654934668765145
ChCC-v11000323m.g	0.09825523309290843	0.0018898661803544768	0.0018787821005989598	0.00880166023741816	0.011083853903127277
ChCC-v11000325m.g	0.08767574995133544	0.0006302004836585621	0.0006265043529507642	0.002935028202673514	0.003696055394377969
ChCC-v11000327m.g	-0.8581191977123208	0.003847631317695537	0.0038250649302769514	0.017919545801308317	0.022565927599400362
ChCC-v11000329m.g	0.15225421314950044	0.0007484079412334185	0.0007440185228732585	0.003485554948915282	0.0043893289201119845
ChCC-v11000332m.g	-0.7284022330608884	0.0026655728696477147	0.0026499392641636606	0.012414353450315888	0.01563328692922234
ChCC-v11000333m.g	0.6089209468969027	0.0015674988801193722	0.001558305487071475	0.007300301316972816	0.009193205720682275
ChCC-v11000335m.g	-0.3961531516482536	0.0007599870247514769	0.0007555296949769828	0.003539482131721168	0.004457238950663562
ChCC-v11000336m.g	0.7446453850166995	0.00244008143196529	0.002425770335506182	0.011364173791269668	0.014310804852100178
ChCC-v11000344m.g	-0.9914014664160101	0.0035769554180022866	0.0035559765468275934	0.016658928870690183	0.020978443703194124
ChCC-v11000347m.g	0.30861174530591673	0.003447143410954137	0.0034269258882041647	0.016054356339231458	0.020217110791927603
ChCC-v11000353m.g	-0.3025816822230207	0.0015488972422098095	0.0015398129479120336	0.007213668041854501	0.009084109193588598
ChCC-v11000354m.g	1.9168044110181837	0.009351193490571846	0.009296348668469507	0.04355124652420196	0.05484370456850671
ChCC-v11000357m.g	0.5902668369253852	0.0031254483665815614	0.0031071175877533785	0.014556128311203842	0.018330405314973205
ChCC-v11000358m.g	-0.19485590716593654	0.00024868603945837816	0.00024722749391473375	0.0011582037119111017	0.00145851582390188
ChCC-v11000359m.g	-1.0987925973094166	0.0030492404917047467	0.003031356672651766	0.01420120592090233	0.017883454647151856
ChCC-v11000360m.g	-0.09085862613701377	0.0020917681131160525	0.002079499876964286	0.009741976664008806	0.012267986170666233
ChCC-v11000361m.g	0.8051380744381191	0.004070661098055041	0.004046786639250737	0.018958260801320726	0.023873972331481676
ChCC-v11000362m.g	0.43738999926897093	0.0014773581977771822	0.0014686934805279652	0.006880489762169406	0.00866454069445188
