## source: http://pathways.mcdb.ucla.edu/algal/id_conversion.html
JGI_v5.3.1_ID	JGI_v5.5_ID
Cre08.g380000	Cre08.g380000.t1.2
Cre08.g377350	Cre08.g377350.t1.1
Cre08.g365550	Cre08.g365550.t1.1
Cre08.g362050	Cre08.g362050.t1.2
g8374	Cre08.g358558.t1.1
g8354	Cre08.g358538.t1.1
Cre08.g364000	Cre08.g364000.t1.1
g8386	Cre08.g358571.t1.1
Cre08.g359700	Cre08.g359700.t1.2
Cre08.g369050	Cre08.g369050.t1.2
g8764	Cre08.g373357.t1.1
Cre08.g375350	Cre08.g375350.t1.2
Cre08.g381950	Cre08.g381950.t1.2
Cre08.g374350	Cre08.g374350.t1.2
Cre08.g381050	Cre08.g381050.t1.1
Cre08.g382900	Cre08.g382900.t1.1
g8347	Cre08.g358530.t1.1
Cre08.g381600	Cre08.g381600.t1.2
g8529	Cre08.g364250.t1.2
Cre08.g368250	Cre08.g368250.t1.1
Cre08.g384000	Cre08.g384000.t1.1
Cre08.g362500	Cre08.g362500.t1.2
g8363	Cre08.g358546.t1.1
g8723	Cre08.g372450.t1.2
Cre08.g375450	Cre08.g375450.t1.2
g8562	Cre08.g365450.t1.2
Cre08.g367850	Cre08.g367850.t1.1
Cre08.g382950	Cre08.g382950.t1.2
Cre08.g358900	Cre08.g358900.t1.2
Cre08.g371250	Cre08.g371250.t1.1
g8511	Cre08.g363367.t1.1
Cre08.g362200	Cre08.g362200.t1.1
Cre08.g373550	Cre08.g373550.t1.2
Cre08.g385100	Cre08.g385100.t1.2
Cre08.g385250	Cre08.g385250.t1.1
g8812	Cre08.g373916.t1.1
Cre08.g359200	Cre08.g359200.t1.1
g8449	Cre08.g360801.t1.1
Cre08.g363150	Cre08.g363150.t1.2
Cre08.g360444	Cre08.g360444.t1.2
Cre08.g365050	Cre08.g365050.t1.2
Cre08.g369850	Cre08.g369850.t1.1
g8366	Cre08.g358549.t1.1
Cre08.g384900	Cre08.g384900.t1.2
Cre08.g370550	Cre08.g370550.t1.1
Cre08.g370900	Cre08.g370900.t1.1
Cre08.g376850	Cre08.g376850.t2.1, Cre08.g376850.t1.2
g8876	N/A
Cre08.g367750	Cre08.g367750.t1.1
Cre08.g369100	Cre08.g369100.t1.2
Cre08.g366579	Cre08.g366579.t1.2
Cre08.g360850	Cre08.g360850.t1.2
g8456	N/A
Cre08.g361100	Cre08.g361100.t1.2, Cre08.g361100.t2.1
Cre08.g372716	Cre08.g372716.t1.2
Cre08.g377600	Cre08.g377600.t1.1
g8763	Cre08.g373356.t1.1
g8772	Cre08.g373363.t1.1
g8795	Cre08.g373414.t1.1
Cre08.g373250	Cre08.g373250.t1.2
Cre08.g380763	Cre08.g380763.t1.2, Cre08.g380763.t2.1
g8960	N/A
Cre08.g378850	Cre08.g378850.t1.2
g8338	Cre08.g358521.t1.1
g8712	Cre08.g371918.t1.1
g8333	Cre08.g358326.t1.1
Cre08.g382700	Cre08.g382700.t1.1
g8584	Cre08.g366350.t1.1
Cre08.g368650	Cre08.g368650.t1.2
g8979	Cre08.g381550.t1.2
Cre08.g377850	Cre08.g377850.t1.2
Cre08.g384600	Cre08.g384600.t1.2
g8623	Cre08.g368026.t1.1
g8758	Cre08.g373351.t1.1
Cre08.g363250	Cre08.g363250.t1.1
g8951	Cre08.g380300.t1.1
g8477	Cre08.g362019.t1.1
Cre08.g375400	Cre08.g375400.t1.1
Cre08.g383050	Cre08.g383050.t1.1
g8554	Cre08.g364989.t2.1, Cre08.g364989.t1.1
g8554	Cre08.g364989.t2.1, Cre08.g364989.t1.1
Cre08.g364600	Cre08.g364600.t1.2
g9084	N/A
g9084	N/A
Cre08.g386100	Cre08.g386100.t1.1, Cre08.g386100.t3.1, Cre08.g386100.t2.1
Cre08.g364950	Cre08.g364931.t1.1
Cre08.g358100	Cre08.g358100.t1.1
Cre08.g380600	Cre08.g380600.t1.1
Cre08.g384250	Cre08.g384250.t1.2
g8513	Cre08.g363400.t1.1
Cre08.g382300	Cre08.g382300.t1.2
Cre08.g372950	Cre08.g372950.t1.2
g8664	N/A
Cre08.g369756	Cre08.g369720.t2.1, Cre08.g369720.t1.1
Cre08.g375050	Cre08.g375050.t1.2
Cre08.g378800	Cre08.g378800.t1.2
Cre08.g365950	Cre08.g365950.t1.2
Cre08.g366200	Cre08.g366200.t1.1
g8606	Cre08.g367300.t1.1
g9045	Cre08.g384320.t1.1, Cre08.g384320.t2.1
g9045	Cre08.g384320.t1.1, Cre08.g384320.t2.1
Cre08.g370000	Cre08.g370000.t1.1
Cre08.g373200	Cre08.g373200.t1.2
Cre08.g365400	Cre08.g365400.t1.2
Cre08.g364200	Cre08.g364200.t1.1
