	HEG
810	ChCC-v11023367m.g
811	fli.orf.54.g
812	ChCC-v11034683m.g
813	ChCC-v11004602m.g
814	ChCC-v11019194m.g
815	ChCC-v11007006m.g
816	ChCC-v11021626m.g
817	ChCC-v11002401m.g
818	ChCC-v11014066m.g
819	ChCC-v11006054m.g
820	ChCC-v11006627m.g
821	ChCC-v11029865m.g
822	ChCC-v11019437m.g
823	ChCC-v11024600m.g
824	ChCC-v11007238m.g
825	ChCC-v11002192m.g
826	ChCC-v11001355m.g
827	ChCC-v11001197m.g
828	ChCC-v11024857m.g
829	ChCC-v11006418m.g
830	ChCC-v11023006m.g
831	ChCC-v11002816m.g
832	ChCC-v11008193m.g
833	ChCC-v11026889m.g
834	ChCC-v11015557m.g
835	ChCC-v11014767m.g
836	ChCC-v11023013m.g
837	ChCC-v11003172m.g
838	ChCC-v11004720m.g
839	ChCC-v11007600m.g
840	ChCC-v11031828m.g
841	ChCC-v11021144m.g
842	ChCC-v11010509m.g
843	ChCC-v11024001m.g
844	ChCC-v11027050m.g
845	ChCC-v11016821m.g
846	ChCC-v11023320m.g
847	ChCC-v11020610m.g
848	ChCC-v11020949m.g
849	ChCC-v11025959m.g
850	ChCC-v11021040m.g
851	ChCC-v11006886m.g
852	ChCC-v11001031m.g
853	ChCC-v11024596m.g
854	ChCC-v11014807m.g
855	ChCC-v11005644m.g
856	ChCC-v11015770m.g
857	ChCC-v11032821m.g
858	ChCC-v11001769m.g
859	ChCC-v11022333m.g
860	ChCC-v11032717m.g
861	ChCC-v11035864m.g
862	ChCC-v11004836m.g
863	ChCC-v11014011m.g
864	ChCC-v11012177m.g
865	ChCC-v11025466m.g
866	ChCC-v11029698m.g
867	ChCC-v11005265m.g
868	ChCC-v11025351m.g
869	ChCC-v11029958m.g
870	ChCC-v11015889m.g
871	ChCC-v11009451m.g
872	ChCC-v11019373m.g
873	ChCC-v11015873m.g
874	ChCC-v11003353m.g
875	ChCC-v11016366m.g
876	ChCC-v11012376m.g
877	ChCC-v11011857m.g
878	ChCC-v11025860m.g
879	ChCC-v11028941m.g
880	ChCC-v11020336m.g
881	ChCC-v11017110m.g
882	ChCC-v11037069m.g
883	ChCC-v11001058m.g
884	ChCC-v11024562m.g
885	ChCC-v11009042m.g
886	ChCC-v11004318m.g
887	ChCC-v11025347m.g
888	ChCC-v11004011m.g
889	ChCC-v11035001m.g
890	ChCC-v11035152m.g
891	ChCC-v11010908m.g
892	ChCC-v11027338m.g
893	ChCC-v11030589m.g
894	ChCC-v11036561m.g
895	ChCC-v11001698m.g
896	ChCC-v11009958m.g
897	ChCC-v11006328m.g
898	ChCC-v11001937m.g
899	ChCC-v11024480m.g
900	ChCC-v11020881m.g
901	ChCC-v11020818m.g
902	ChCC-v11036366m.g
903	ChCC-v11037009m.g
904	ChCC-v11000641m.g
905	ChCC-v11029324m.g
906	ChCC-v11006921m.g
907	ChCC-v11000621m.g
908	ChCC-v11030211m.g
909	ChCC-v11034426m.g
910	ChCC-v11031332m.g
911	ChCC-v11009990m.g
912	ChCC-v11000040m.g
913	ChCC-v11009010m.g
914	ChCC-v11026724m.g
915	ChCC-v11016098m.g
916	ChCC-v11035417m.g
917	ChCC-v11004490m.g
918	ChCC-v11016857m.g
919	ChCC-v11022700m.g
920	ChCC-v11009723m.g
921	ChCC-v11034443m.g
922	ChCC-v11020608m.g
923	ChCC-v11004856m.g
924	ChCC-v11035431m.g
925	ChCC-v11022075m.g
926	ChCC-v11013384m.g
927	ChCC-v11015026m.g
928	ChCC-v11013097m.g
929	ChCC-v11029745m.g
