CC2344-L1,CC2344-L2,CC2344-L3,CC2344-L4,CC2344-L5,CC2344-L6,CC2344-L7,CC2344-L8,CC2344-L9,CC2344-L10,CC2344-L11,CC2344-L12,CC2344-L13,CC2344-L14,CC2344-L15,CC2931-L1,CC2931-L2,CC2931-L3,CC2931-L4,CC2931-L5,CC2931-L6,CC2931-L7,CC2931-L9,CC2931-L10,CC2931-L11,CC2931-L13,CC2931-L14,CC2931-L15
CHLRE_01G010950V5,CHLRE_03G174950V5,,CHLRE_01G015700V5,CHLRE_06G287600V5,CHLRE_01G014850V5,,,CHLRE_01G007901V5,CHLRE_01G023450V5,CHLRE_01G007600V5,CHLRE_01G020350V5,CHLRE_17G733950V5,CHLRE_13G569300V5,CHLRE_01G007700V5,5715452.0,5723222.0,5718712.0,5724716.0,5722674.0,5721440.0,,,,5723996.0,5723417.0,5728847.0,5715452.0
CHLRE_01G011300V5,CHLRE_03G182050V5,,CHLRE_01G016050V5,CHLRE_06G301750V5,CHLRE_01G015550V5,,,CHLRE_01G007950V5,CHLRE_01G023913V5,CHLRE_01G007651V5,CHLRE_01G021350V5,CHLRE_17G733800V5,CHLRE_14G623403V5,CHLRE_01G007901V5,5722467.0,5728223.0,5719400.0,5718664.0,5717023.0,5727556.0,,,,5720494.0,5725857.0,5721636.0,5720306.0
CHLRE_01G011500V5,CHLRE_03G190250V5,,CHLRE_01G016150V5,CHLRE_07G321250V5,CHLRE_01G016150V5,,,CHLRE_01G008100V5,CHLRE_01G025983V5,CHLRE_01G007850V5,CHLRE_01G021400V5,CHLRE_46G760947V5,CHLRE_15G637750V5,CHLRE_01G008150V5,5726875.0,5722622.0,5728697.0,5723357.0,5715295.0,5728525.0,,,,5727431.0,5715918.0,5717227.0,5722202.0
CHLRE_01G011600V5,CHLRE_03G198500V5,,CHLRE_01G016300V5,CHLRE_07G329650V5,CHLRE_01G016600V5,,,CHLRE_01G008150V5,CHLRE_01G026050V5,CHLRE_01G008000V5,CHLRE_01G021600V5,CHLRE_02G143567V5,CHLRE_02G141106V5,CHLRE_01G008450V5,5728206.0,5719486.0,5728595.0,5719189.0,5716047.0,5718627.0,,,,5717593.0,5723886.0,5720715.0,5727570.0
CHLRE_01G011850V5,CHLRE_04G215900V5,,CHLRE_01G016350V5,CHLRE_08G364501V5,CHLRE_01G016800V5,,,CHLRE_01G008200V5,CHLRE_01G026550V5,CHLRE_01G008100V5,CHLRE_01G022200V5,CHLRE_02G143587V5,CHLRE_16G685100V5,CHLRE_01G008500V5,5728952.0,5720553.0,5723726.0,5715193.0,5719657.0,5727184.0,,,,5721801.0,5716692.0,5724800.0,5722467.0
CHLRE_01G012300V5,CHLRE_04G221450V5,,CHLRE_01G016600V5,CHLRE_08G370500V5,CHLRE_01G016900V5,,,CHLRE_01G008250V5,CHLRE_01G027400V5,CHLRE_01G008250V5,CHLRE_01G022250V5,CHLRE_16G692350V5,CHLRE_17G731571V5,CHLRE_01G008750V5,5715872.0,5724384.0,,5727512.0,5723997.0,5717878.0,,,,5722365.0,5715097.0,5728626.0,5722641.0
CHLRE_01G012400V5,CHLRE_04G232402V5,,CHLRE_01G017250V5,CHLRE_08G381483V5,CHLRE_01G016950V5,,,CHLRE_01G008350V5,CHLRE_01G027650V5,CHLRE_01G008300V5,CHLRE_01G022350V5,CHLRE_16G661000V5,,CHLRE_01G008850V5,5728847.0,5718003.0,,5722020.0,5723103.0,5719379.0,,,,5727123.0,5726379.0,5725973.0,5728952.0
CHLRE_01G012450V5,CHLRE_05G236850V5,,CHLRE_01G017850V5,CHLRE_08G385951V5,CHLRE_01G017050V5,,,CHLRE_01G008850V5,CHLRE_01G027700V5,CHLRE_01G008350V5,CHLRE_01G022400V5,CHLRE_16G685000V5,,CHLRE_01G008891V5,5720841.0,5720499.0,,5722171.0,5716713.0,5718851.0,,,,5721453.0,5717818.0,5715270.0,5726413.0
CHLRE_01G012600V5,CHLRE_05G236878V5,,CHLRE_01G018200V5,CHLRE_09G400150V5,CHLRE_01G017200V5,,,CHLRE_01G009200V5,CHLRE_01G028423V5,CHLRE_01G008650V5,CHLRE_01G022600V5,CHLRE_17G707137V5,,CHLRE_01G009200V5,5728384.0,5722033.0,,5725387.0,5715342.0,5727431.0,,,,5715452.0,5723848.0,5718841.0,5720164.0
CHLRE_01G012800V5,CHLRE_05G240200V5,,CHLRE_01G018450V5,CHLRE_09G393350V5,CHLRE_01G017350V5,,,CHLRE_01G009731V5,CHLRE_01G028450V5,CHLRE_01G008700V5,CHLRE_01G023300V5,CHLRE_17G744997V5,,CHLRE_01G009250V5,5725457.0,5717004.0,,5715325.0,5722138.0,5718565.0,,,,5725277.0,5720288.0,5719630.0,5715872.0
CHLRE_01G013250V5,CHLRE_05G231100V5,,CHLRE_01G019200V5,CHLRE_09G391600V5,CHLRE_01G017400V5,,,CHLRE_01G010000V5,CHLRE_01G028550V5,CHLRE_01G008750V5,CHLRE_01G023400V5,,,CHLRE_01G009400V5,5727214.0,5722169.0,,5724183.0,5719114.0,5716528.0,,,,5724850.0,5723298.0,5727672.0,5715609.0
CHLRE_01G013400V5,CHLRE_05G232450V5,,CHLRE_01G019600V5,CHLRE_09G397623V5,CHLRE_01G017600V5,,,CHLRE_01G010350V5,CHLRE_01G028900V5,CHLRE_01G008850V5,CHLRE_01G023950V5,,,CHLRE_01G009450V5,5719654.0,5717433.0,,5720428.0,5720271.0,5717593.0,,,,5728353.0,5722051.0,5717932.0,5728856.0
CHLRE_01G013450V5,CHLRE_05G233304V5,,CHLRE_01G019850V5,CHLRE_10G430050V5,CHLRE_01G017650V5,,,CHLRE_01G010450V5,CHLRE_01G028950V5,CHLRE_01G009200V5,CHLRE_01G024050V5,,,CHLRE_01G009765V5,5716037.0,5715756.0,,5716689.0,5725115.0,5722750.0,,,,5728952.0,5716276.0,5722589.0,5718573.0
CHLRE_01G013600V5,CHLRE_06G264050V5,,CHLRE_01G020100V5,CHLRE_10G433850V5,CHLRE_01G017900V5,,,CHLRE_01G010650V5,CHLRE_01G030650V5,CHLRE_01G009350V5,CHLRE_01G025350V5,,,CHLRE_01G010450V5,5722589.0,5717922.0,,5728923.0,5719044.0,5728321.0,,,,5715872.0,5716278.0,5728166.0,5725457.0
CHLRE_01G013700V5,CHLRE_06G271188V5,,CHLRE_01G021150V5,CHLRE_10G456150V5,CHLRE_01G017951V5,,,CHLRE_01G010800V5,CHLRE_01G030850V5,CHLRE_01G009400V5,CHLRE_01G025850V5,,,CHLRE_01G010650V5,5724716.0,5719264.0,,5726466.0,5720626.0,5715452.0,,,,5723049.0,5716320.0,5728903.0,5720467.0
CHLRE_01G013850V5,CHLRE_06G278153V5,,CHLRE_01G021450V5,CHLRE_10G456400V5,CHLRE_01G018450V5,,,CHLRE_01G010832V5,CHLRE_01G031250V5,CHLRE_01G009500V5,CHLRE_01G025900V5,,,CHLRE_01G010816V5,5719653.0,5727391.0,,5725243.0,5728383.0,5720643.0,,,,5728847.0,5716450.0,5724716.0,5728814.0
CHLRE_01G014450V5,CHLRE_06G289900V5,,CHLRE_01G021600V5,CHLRE_11G467620V5,CHLRE_01G019000V5,,,CHLRE_01G010950V5,CHLRE_01G031900V5,CHLRE_01G009731V5,CHLRE_01G026050V5,,,CHLRE_01G010832V5,5717508.0,5717305.0,,5717469.0,5721118.0,5715072.0,,,,5720613.0,5716453.0,5716391.0,5722185.0
