CC2931-L1,CC2931-L2,CC2931-L3,CC2931-L4,CC2931-L5,CC2931-L6,CC2931-L7,CC2931-L9,CC2931-L10,CC2931-L11,CC2931-L13,CC2931-L14,CC2931-L15
CHLRE_01G023750V5,CHLRE_02G079050V5,CHLRE_03G176500V5,CHLRE_01G031700V5,CHLRE_01G032550V5,CHLRE_01G018350V5,CHLRE_03G170850V5,CHLRE_05G240000V5,CHLRE_08G366200V5,CHLRE_01G021650V5,CHLRE_02G095200V5,CHLRE_01G017100V5,CHLRE_01G005950V5
CHLRE_01G023800V5,CHLRE_02G079500V5,CHLRE_03G177100V5,CHLRE_01G031951V5,CHLRE_01G032900V5,CHLRE_01G018650V5,CHLRE_03G173050V5,CHLRE_05G232850V5,CHLRE_08G366874V5,CHLRE_01G022200V5,CHLRE_02G095600V5,CHLRE_01G017200V5,CHLRE_01G006000V5
CHLRE_01G024500V5,CHLRE_02G080050V5,CHLRE_03G177150V5,CHLRE_01G033950V5,CHLRE_01G033350V5,CHLRE_01G019450V5,CHLRE_03G176500V5,CHLRE_06G249800V5,CHLRE_08G368200V5,CHLRE_01G022400V5,CHLRE_02G100100V5,CHLRE_01G017250V5,CHLRE_01G006050V5
CHLRE_01G024750V5,CHLRE_02G080600V5,CHLRE_03G181550V5,CHLRE_01G034100V5,CHLRE_01G035050V5,CHLRE_01G019600V5,CHLRE_03G181550V5,CHLRE_06G250300V5,CHLRE_08G370200V5,CHLRE_01G023350V5,CHLRE_02G100850V5,CHLRE_01G017300V5,CHLRE_01G006800V5
CHLRE_01G024800V5,CHLRE_02G082950V5,CHLRE_03G193950V5,CHLRE_01G036200V5,CHLRE_01G035550V5,CHLRE_01G020650V5,CHLRE_03G187850V5,CHLRE_06G252150V5,CHLRE_08G375600V5,CHLRE_01G023750V5,CHLRE_02G106450V5,CHLRE_01G017400V5,CHLRE_01G007051V5
CHLRE_01G025767V5,CHLRE_02G083300V5,CHLRE_03G207550V5,CHLRE_01G036550V5,CHLRE_01G036050V5,CHLRE_01G020701V5,CHLRE_03G197300V5,CHLRE_06G252401V5,CHLRE_09G399250V5,CHLRE_01G023773V5,CHLRE_02G109600V5,CHLRE_01G017500V5,CHLRE_01G007150V5
CHLRE_01G026050V5,CHLRE_02G084250V5,CHLRE_03G202851V5,CHLRE_01G036750V5,CHLRE_01G036850V5,CHLRE_01G020800V5,CHLRE_03G207100V5,CHLRE_06G257300V5,CHLRE_09G393321V5,CHLRE_01G024251V5,CHLRE_02G111200V5,CHLRE_01G017850V5,CHLRE_01G007200V5
CHLRE_01G026500V5,CHLRE_02G085900V5,CHLRE_03G201950V5,CHLRE_01G038350V5,CHLRE_01G038650V5,CHLRE_01G021550V5,CHLRE_03G204850V5,CHLRE_06G257601V5,CHLRE_09G417000V5,CHLRE_01G024900V5,CHLRE_02G111900V5,CHLRE_01G018000V5,CHLRE_01G007350V5
CHLRE_01G028101V5,CHLRE_02G085950V5,CHLRE_03G201851V5,CHLRE_01G040350V5,CHLRE_01G039550V5,CHLRE_01G021600V5,CHLRE_03G201950V5,CHLRE_06G258600V5,CHLRE_10G418600V5,CHLRE_01G025350V5,CHLRE_02G115500V5,CHLRE_01G018050V5,CHLRE_01G007500V5
CHLRE_01G028200V5,CHLRE_02G088250V5,CHLRE_03G200351V5,CHLRE_01G041667V5,CHLRE_01G041650V5,CHLRE_01G021900V5,CHLRE_03G211409V5,CHLRE_06G272000V5,CHLRE_10G424350V5,CHLRE_01G025950V5,CHLRE_02G115550V5,CHLRE_01G018075V5,CHLRE_01G007700V5
